"word","word_count"
"Magic:",15
"The",750
"Gathering",11
"Comprehensive",5
"Rules",24
"These",84
"rules",305
"effective",2
"March",3
"8,",5
"2024.",2
"Introduction",1
"This",265
"document",2
"ultimate",1
"authority",1
"Magic:",15
"The",750
"Gathering®",1
"competitive",1
"game",484
"play.",23
"It",158
"consists",16
"series",11
"numbered",4
"rules",305
"glossary.",1
"Many",8
"numbered",4
"rules",305
"divided",1
"subrules,",1
"separate",27
"rule",1655
"subrule",2
"game",484
"number.",15
"(Note",9
"subrules",1
"skip",15
"letters",3
"“l”",1
"“o”",1
"due",19
"potential",1
"confusion",1
"“1”",1
"“0”;",1
"subrule",2
"704.5k",2
"704.5m,",1
"704.5n,",1
"704.5p,",1
"example.)",1
"Changes",2
"document",2
"publication.",1
"You",52
"download",1
"recent",13
"version",11
"Magic",89
"rules",305
"website",2
"Magic.Wizards.com/Rules.",1
"If",1165
"questions,",1
"answers",5
"Support.Wizards.com.",1
"Contents",1
"1.",33
"Game",17
"Concepts",2
"100.",3
"General",19
"101.",2
"The",750
"Magic",89
"Golden",2
"Rules",24
"102.",2
"Players",27
"103.",2
"Starting",7
"Game",17
"104.",2
"Ending",7
"Game",17
"105.",2
"Colors",2
"106.",2
"Mana",33
"107.",2
"Numbers",3
"Symbols",5
"108.",2
"Cards",89
"109.",2
"Objects",21
"110.",2
"Permanents",9
"111.",2
"Tokens",6
"112.",2
"Spells",37
"113.",2
"Abilities",61
"114.",2
"Emblems",3
"115.",2
"Targets",2
"116.",2
"Special",5
"Actions",12
"117.",2
"Timing",2
"Priority",4
"118.",2
"Costs",6
"119.",2
"Life",9
"120.",2
"Damage",44
"121.",2
"Drawing",2
"Card",18
"122.",2
"Counters",8
"123.",2
"Stickers",7
"2.",30
"Parts",2
"Card",18
"200.",2
"General",19
"201.",2
"Name",5
"202.",2
"Mana",33
"Cost",20
"Color",8
"203.",2
"Illustration",4
"204.",2
"Color",8
"Indicator",3
"205.",2
"Type",13
"Line",3
"206.",2
"Expansion",3
"Symbol",14
"207.",2
"Text",19
"Box",6
"208.",2
"Power/Toughness",2
"209.",2
"Loyalty",11
"210.",2
"Defense",4
"211.",2
"Hand",9
"Modifier",6
"212.",2
"Life",9
"Modifier",6
"213.",2
"Information",7
"Below",5
"Text",19
"Box",6
"3.",11
"Card",18
"Types",3
"300.",2
"General",19
"301.",2
"Artifacts",5
"302.",2
"Creatures",14
"303.",2
"Enchantments",4
"304.",2
"Instants",5
"305.",2
"Lands",4
"306.",2
"Planeswalkers",6
"307.",2
"Sorceries",4
"308.",2
"Tribals",3
"309.",2
"Dungeons",2
"310.",2
"Battles",4
"311.",2
"Planes",3
"312.",2
"Phenomena",2
"313.",2
"Vanguards",2
"314.",2
"Schemes",3
"315.",2
"Conspiracies",2
"4.",5
"Zones",2
"400.",2
"General",19
"401.",2
"Library",5
"402.",2
"Hand",9
"403.",2
"Battlefield",5
"404.",2
"Graveyard",3
"405.",2
"Stack",3
"406.",2
"Exile",23
"407.",2
"Ante",3
"408.",2
"Command",4
